,Summary,Temperature (C),Apparent Temperature (C),Humidity,Pressure (millibars)
153,Partly Cloudy,12.105555555555554,12.105555555555554,0.72,1019.83
154,Partly Cloudy,12.77777777777778,12.77777777777778,0.71,1020.51
156,Partly Cloudy,16.016666666666666,16.016666666666666,0.48,1020.6
157,Partly Cloudy,17.127777777777776,17.127777777777776,0.47,1020.39
158,Partly Cloudy,17.144444444444446,17.144444444444446,0.43,1020.34
159,Mostly Cloudy,17.77777777777778,17.77777777777778,0.4,1019.7
160,Mostly Cloudy,17.77777777777778,17.77777777777778,0.37,1018.89
162,Mostly Cloudy,16.15555555555555,16.15555555555555,0.52,1017.87
168,Overcast,12.266666666666666,12.266666666666666,0.69,1016.8
169,Overcast,11.71111111111111,11.71111111111111,0.71,1016.64
170,Partly Cloudy,10.82777777777778,10.82777777777778,0.86,1013.13
171,Overcast,12.2,12.2,0.59,1014.79
173,Overcast,11.688888888888888,11.688888888888888,0.68,1013.95
174,Overcast,11.205555555555556,11.205555555555556,0.77,1013.63
178,Mostly Cloudy,17.244444444444444,17.244444444444444,0.62,1012.15
180,Overcast,17.84444444444445,17.84444444444445,0.56,1011.28
182,Overcast,18.666666666666664,18.666666666666664,0.56,1010.93
183,Overcast,17.82222222222222,17.82222222222222,0.56,1010.7
184,Overcast,17.800000000000004,17.800000000000004,0.59,1010.52
189,Mostly Cloudy,12.755555555555556,12.755555555555556,0.84,1012.02
195,Mostly Cloudy,10.577777777777776,10.577777777777776,0.93,1012.32
196,Mostly Cloudy,10.533333333333337,10.533333333333337,0.89,1012.33
198,Mostly Cloudy,9.983333333333333,9.283333333333337,0.89,1012.71
199,Mostly Cloudy,11.022222222222224,11.022222222222224,0.86,1013.01
202,Partly Cloudy,15.0,15.0,0.67,1013.4
203,Partly Cloudy,17.183333333333334,17.183333333333334,0.57,1013.27
205,Mostly Cloudy,17.75,17.75,0.56,1013.03
211,Mostly Cloudy,15.13888888888889,15.13888888888889,0.61,1011.5
216,Partly Cloudy,9.522222222222222,7.861111111111111,0.88,1012.52
218,Mostly Cloudy,13.011111111111113,13.011111111111113,0.82,1011.27
223,Clear,8.68888888888889,8.68888888888889,0.93,1012.96
225,Partly Cloudy,13.766666666666667,13.766666666666667,0.78,1013.14
226,Partly Cloudy,15.088888888888889,15.088888888888889,0.77,1013.33
227,Partly Cloudy,16.455555555555556,16.455555555555556,0.68,1013.56
228,Partly Cloudy,17.31111111111111,17.31111111111111,0.62,1013.61
237,Mostly Cloudy,14.883333333333333,14.883333333333333,0.72,1012.05
239,Overcast,14.511111111111113,14.511111111111113,0.75,1012.09
240,Overcast,14.372222222222222,14.372222222222222,0.75,1011.83
243,Overcast,12.82222222222222,12.82222222222222,0.83,1011.18
244,Overcast,12.8,12.8,0.85,1010.07
249,Overcast,12.17222222222222,12.17222222222222,0.8,1010.41
253,Mostly Cloudy,17.200000000000003,17.200000000000003,0.67,1010.1
258,Mostly Cloudy,16.272222222222222,16.272222222222222,0.71,1009.39
260,Overcast,13.255555555555556,13.255555555555556,0.93,1011.23
263,Mostly Cloudy,12.488888888888887,12.488888888888887,0.9,1011.76
266,Partly Cloudy,8.722222222222223,8.722222222222223,0.93,1014.98
268,Mostly Cloudy,9.444444444444445,8.705555555555556,0.83,1014.7
271,Partly Cloudy,8.88888888888889,7.233333333333336,0.89,1014.63
276,Mostly Cloudy,16.183333333333334,16.183333333333334,0.71,1014.35
282,Mostly Cloudy,14.066666666666666,14.066666666666666,0.71,1013.58
285,Partly Cloudy,10.02222222222222,10.02222222222222,0.86,1014.14
290,Mostly Cloudy,12.155555555555557,12.155555555555557,0.95,1015.64
300,Partly Cloudy,15.072222222222225,15.072222222222225,0.86,1014.92
301,Partly Cloudy,15.072222222222225,15.072222222222225,0.82,1014.73
302,Overcast,14.266666666666667,14.266666666666667,0.87,1014.92
304,Overcast,15.02777777777778,15.02777777777778,0.86,1014.37
306,Overcast,12.916666666666666,12.916666666666666,0.95,1015.11
307,Overcast,12.894444444444446,12.894444444444446,0.95,1015.14
308,Overcast,12.4,12.4,0.98,1015.5
309,Clear,12.266666666666666,12.266666666666666,0.99,1015.76
312,Mostly Cloudy,11.52777777777778,11.52777777777778,0.96,1016.43
317,Overcast,11.52777777777778,11.52777777777778,0.96,1016.13
321,Overcast,12.755555555555556,12.755555555555556,0.96,1017.06
322,Overcast,13.844444444444443,13.844444444444443,0.9,1017.45
323,Overcast,13.172222222222224,13.172222222222224,0.94,1017.77
324,Mostly Cloudy,15.066666666666666,15.066666666666666,0.86,1017.73
325,Partly Cloudy,17.244444444444444,17.244444444444444,0.75,1017.53
326,Partly Cloudy,16.316666666666666,16.316666666666666,0.76,1017.31
327,Partly Cloudy,17.383333333333333,17.383333333333333,0.74,1016.82
330,Partly Cloudy,16.22222222222222,16.22222222222222,0.77,1016.33
331,Partly Cloudy,15.083333333333334,15.083333333333334,0.82,1016.52
337,Clear,9.355555555555558,8.633333333333333,0.96,1017.56
338,Clear,9.86111111111111,9.86111111111111,0.96,1016.16
346,Mostly Cloudy,14.144444444444446,14.144444444444446,0.88,1017.82
347,Partly Cloudy,17.1,17.1,0.72,1017.77
350,Partly Cloudy,19.98333333333333,19.98333333333333,0.53,1016.4
352,Partly Cloudy,20.07222222222222,20.07222222222222,0.56,1015.29
353,Partly Cloudy,20.083333333333336,20.083333333333336,0.58,1014.9
356,Partly Cloudy,15.56666666666667,15.56666666666667,0.74,1015.04
357,Clear,12.494444444444447,12.494444444444447,0.91,1015.51
358,Clear,12.244444444444444,12.244444444444444,0.89,1015.72
359,Clear,11.416666666666664,11.416666666666664,0.92,1015.79
360,Clear,10.555555555555555,10.555555555555555,0.95,1015.83
361,Clear,10.466666666666669,10.466666666666669,0.93,1015.95
363,Clear,9.355555555555558,9.355555555555558,0.96,1015.82
374,Partly Cloudy,22.11111111111111,22.11111111111111,0.5,1015.96
382,Partly Cloudy,13.28888888888889,13.28888888888889,0.89,1016.52
386,Clear,12.383333333333333,12.383333333333333,0.8,1019.59
388,Partly Cloudy,8.872222222222222,8.872222222222222,0.95,1017.42
391,Clear,10.911111111111111,10.911111111111111,0.99,1018.62
392,Clear,14.83888888888889,14.83888888888889,0.82,1019.08
393,Clear,18.8,18.8,0.65,1019.11
394,Clear,21.094444444444445,21.094444444444445,0.49,1019.5
396,Partly Cloudy,22.82777777777778,22.82777777777778,0.47,1019.79
398,Partly Cloudy,23.916666666666668,23.916666666666668,0.37,1019.25
400,Partly Cloudy,23.93333333333333,23.93333333333333,0.37,1018.6
401,Partly Cloudy,23.916666666666668,23.916666666666668,0.32,1018.67
402,Partly Cloudy,22.82222222222222,22.82222222222222,0.44,1018.59
403,Partly Cloudy,21.22777777777777,21.22777777777777,0.48,1018.67
404,Partly Cloudy,19.07777777777778,19.07777777777778,0.51,1019.22
406,Clear,14.905555555555551,14.905555555555551,0.72,1019.91
407,Clear,13.083333333333332,13.083333333333332,0.87,1020.02
408,Clear,12.711111111111112,12.711111111111112,0.89,1020.11
409,Clear,12.127777777777776,12.127777777777776,0.89,1020.12
410,Clear,11.81111111111111,11.81111111111111,0.84,1018.38
411,Clear,12.016666666666667,12.016666666666667,0.8,1019.91
412,Clear,12.044444444444444,12.044444444444444,0.8,1020.03
413,Partly Cloudy,10.627777777777778,10.627777777777778,0.86,1020.39
414,Clear,9.911111111111111,8.68888888888889,0.99,1020.6
418,Partly Cloudy,19.1,19.1,0.67,1020.66
421,Mostly Cloudy,22.938888888888894,22.938888888888894,0.5,1019.95
422,Mostly Cloudy,23.927777777777774,23.927777777777774,0.47,1019.43
429,Mostly Cloudy,16.016666666666666,16.016666666666666,0.72,1018.31
432,Clear,13.311111111111112,13.311111111111112,0.82,1018.44
433,Clear,12.733333333333334,12.733333333333334,0.83,1018.23
437,Partly Cloudy,10.288888888888891,10.288888888888891,0.91,1017.7
438,Clear,9.972222222222223,9.972222222222223,0.92,1017.62
442,Mostly Cloudy,21.16111111111111,21.16111111111111,0.59,1017.3
444,Mostly Cloudy,22.89444444444444,22.89444444444444,0.48,1016.68
451,Mostly Cloudy,21.20555555555556,21.20555555555556,0.52,1013.21
452,Mostly Cloudy,18.261111111111116,18.261111111111116,0.62,1013.75
453,Mostly Cloudy,17.200000000000003,17.200000000000003,0.67,1014.13
455,Clear,15.961111111111109,15.961111111111109,0.79,1014.06
456,Mostly Cloudy,15.444444444444445,15.444444444444445,0.72,1013.92
459,Partly Cloudy,12.82222222222222,12.82222222222222,0.82,1013.04
461,Partly Cloudy,11.416666666666664,11.416666666666664,0.92,1012.98
463,Mostly Cloudy,14.905555555555551,14.905555555555551,0.78,1013.03
465,Mostly Cloudy,17.227777777777774,17.227777777777774,0.72,1013.13
473,Overcast,20.23333333333333,20.23333333333333,0.66,1011.17
474,Overcast,19.07777777777778,19.07777777777778,0.71,1011.08
475,Mostly Cloudy,17.944444444444443,17.944444444444443,0.77,1011.28
479,Mostly Cloudy,14.138888888888893,14.138888888888893,0.86,1012.79
484,Mostly Cloudy,13.916666666666664,13.916666666666664,0.86,1011.72
486,Overcast,13.866666666666667,13.866666666666667,0.9,1011.51
490,Mostly Cloudy,18.75,18.75,0.58,1011.2
495,Partly Cloudy,21.17777777777778,21.17777777777778,0.43,1009.55
496,Partly Cloudy,21.22777777777777,21.22777777777777,0.41,1009.04
497,Partly Cloudy,20.100000000000005,20.100000000000005,0.45,1008.55
501,Partly Cloudy,14.983333333333333,14.983333333333333,0.72,1009.55
510,Mostly Cloudy,10.072222222222225,10.072222222222225,0.71,1008.84
513,Clear,15.050000000000002,15.050000000000002,0.6,1009.25
522,Mostly Cloudy,16.25,16.25,0.52,1009.03
524,Mostly Cloudy,12.95,12.95,0.55,1010.18
525,Mostly Cloudy,12.244444444444444,12.244444444444444,0.52,1010.85
526,Mostly Cloudy,11.688888888888888,11.688888888888888,0.57,1011.08
528,Partly Cloudy,9.216666666666669,8.627777777777778,0.9,1014.24
535,Clear,5.933333333333334,5.933333333333334,1.0,1014.55
536,Clear,10.405555555555551,10.405555555555551,1.0,1014.91
537,Partly Cloudy,12.544444444444444,12.544444444444444,0.78,1014.44
538,Partly Cloudy,13.861111111111112,13.861111111111112,0.77,1014.52
545,Partly Cloudy,17.299999999999997,17.299999999999997,0.5,1012.11
548,Mostly Cloudy,12.694444444444445,12.694444444444445,0.74,1013.08
551,Partly Cloudy,10.616666666666667,10.616666666666667,0.74,1013.54
552,Mostly Cloudy,11.6,11.6,0.57,1011.68
556,Mostly Cloudy,10.3,10.3,0.67,1011.42
558,Mostly Cloudy,9.772222222222224,7.933333333333334,0.68,1011.83
560,Mostly Cloudy,11.655555555555551,11.655555555555551,0.66,1012.96
562,Mostly Cloudy,15.02777777777778,15.02777777777778,0.54,1013.36
570,Mostly Cloudy,17.200000000000003,17.200000000000003,0.38,1012.88
571,Mostly Cloudy,15.02222222222222,15.02222222222222,0.45,1012.98
572,Mostly Cloudy,13.927777777777775,13.927777777777775,0.47,1013.73
577,Mostly Cloudy,9.972222222222223,7.966666666666669,0.71,1013.41
580,Partly Cloudy,7.383333333333332,4.755555555555556,0.82,1012.8
581,Mostly Cloudy,7.972222222222222,5.894444444444444,0.82,1013.1
584,Overcast,7.88888888888889,4.088888888888889,0.89,1014.12
585,Overcast,7.799999999999999,4.333333333333332,0.96,1014.48
587,Overcast,7.944444444444443,6.2333333333333325,0.95,1015.66
588,Overcast,8.077777777777776,5.455555555555556,0.94,1015.89
589,Overcast,10.227777777777776,10.227777777777776,0.81,1015.69
592,Partly Cloudy,12.916666666666666,12.916666666666666,0.67,1014.77
595,Partly Cloudy,10.227777777777776,10.227777777777776,0.75,1014.7
597,Clear,7.827777777777779,6.622222222222224,0.87,1015.81
598,Clear,6.67777777777778,5.727777777777779,0.91,1015.89
599,Clear,6.122222222222224,4.938888888888889,0.91,1015.9
601,Clear,4.355555555555558,1.7055555555555555,0.95,1015.89
602,Mostly Cloudy,9.27222222222222,9.27222222222222,0.89,1007.55
604,Partly Cloudy,3.2166666666666663,1.6666666666666667,0.92,1015.18
608,Clear,6.883333333333334,5.105555555555554,0.93,1014.0
613,Mostly Cloudy,14.97777777777778,14.97777777777778,0.51,1010.87
614,Overcast,14.02777777777778,14.02777777777778,0.57,1009.99
615,Mostly Cloudy,15.02222222222222,15.02222222222222,0.51,1008.85
616,Mostly Cloudy,15.044444444444444,15.044444444444444,0.54,1007.74
617,Overcast,15.088888888888889,15.088888888888889,0.5,1007.07
623,Overcast,12.650000000000002,12.650000000000002,0.74,1005.64
625,Overcast,10.627777777777778,10.627777777777778,0.88,1005.65
626,Overcast,5.666666666666668,3.755555555555554,0.91,1012.87
627,Overcast,10.050000000000002,10.050000000000002,0.92,1006.34
630,Overcast,8.661111111111113,8.661111111111113,0.99,1007.18
631,Overcast,7.550000000000002,4.261111111111112,0.95,1007.86
633,Overcast,6.044444444444446,2.0111111111111097,0.92,1008.86
634,Overcast,6.094444444444444,2.233333333333335,0.85,1009.1
635,Overcast,6.116666666666665,2.2499999999999982,0.82,1010.06
636,Overcast,6.066666666666667,2.705555555555554,0.86,1010.67
639,Overcast,7.061111111111112,4.15,0.86,1011.14
640,Overcast,6.038888888888888,2.344444444444444,0.93,1011.61
641,Overcast,6.072222222222222,2.305555555555555,0.93,1011.86
642,Overcast,5.044444444444443,1.0555555555555547,0.93,1011.93
644,Overcast,5.033333333333335,1.8166666666666684,0.93,1013.23
645,Overcast,5.0,2.438888888888889,0.93,1013.8
646,Overcast,4.977777777777778,1.877777777777779,0.93,1014.08
647,Overcast,4.933333333333335,1.5388888888888903,0.87,1013.96
649,Overcast,4.444444444444445,1.1944444444444438,0.92,1014.39
650,Clear,4.01111111111111,1.0444444444444458,0.83,1016.82
651,Overcast,4.905555555555555,1.8444444444444448,0.86,1014.18
653,Overcast,4.388888888888888,1.277777777777776,0.89,1014.14
654,Overcast,4.8388888888888895,1.288888888888889,0.86,1014.11
656,Mostly Cloudy,4.944444444444444,1.2444444444444456,0.84,1014.9
657,Mostly Cloudy,7.200000000000001,4.166666666666667,0.65,1014.98
661,Partly Cloudy,10.0,7.1000000000000005,0.5,1015.72
663,Partly Cloudy,11.06111111111111,11.06111111111111,0.46,1015.24
664,Partly Cloudy,10.13888888888889,10.13888888888889,0.42,1015.14
666,Partly Cloudy,10.116666666666667,10.116666666666667,0.49,1015.39
670,Clear,3.933333333333332,2.422222222222222,0.76,1017.12
672,Partly Cloudy,3.800000000000002,2.2888888888888874,0.82,1017.32
673,Clear,2.688888888888891,-0.1555555555555562,0.85,1017.42
674,Clear,5.0666666666666655,3.938888888888891,0.81,1018.24
675,Clear,2.6,0.9611111111111094,0.85,1017.33
676,Partly Cloudy,1.583333333333334,-0.1611111111111106,0.92,1017.53
677,Partly Cloudy,2.155555555555557,2.155555555555557,0.9,1017.7
678,Clear,0.9555555555555548,0.9555555555555548,0.92,1017.84
679,Clear,0.9555555555555548,0.9555555555555548,0.92,1018.13
680,Clear,5.594444444444445,5.594444444444445,0.82,1018.47
681,Clear,9.822222222222225,7.777777777777778,0.66,1018.32
682,Clear,11.072222222222225,11.072222222222225,0.54,1018.59
683,Partly Cloudy,11.055555555555555,11.055555555555555,0.48,1018.68
685,Partly Cloudy,12.85,12.85,0.41,1018.38
688,Partly Cloudy,13.88888888888889,13.88888888888889,0.46,1017.37
690,Clear,12.383333333333333,12.383333333333333,0.49,1017.24
691,Clear,10.205555555555556,10.205555555555556,0.57,1017.45
692,Clear,9.144444444444446,8.08888888888889,0.62,1017.83
693,Clear,7.827777777777779,6.099999999999998,0.68,1018.17
694,Clear,7.733333333333334,6.672222222222221,0.65,1018.28
695,Clear,7.144444444444444,6.138888888888888,0.69,1018.37
696,Clear,6.016666666666666,4.783333333333333,0.74,1018.39
697,Clear,5.46111111111111,4.077777777777779,0.76,1018.49
699,Clear,3.838888888888887,2.194444444444446,0.82,1018.18
700,Clear,2.244444444444444,2.244444444444444,0.91,1018.29
701,Clear,2.0222222222222226,0.2277777777777758,0.93,1018.28
702,Clear,2.1722222222222203,-0.8666666666666659,0.92,1018.08
703,Clear,3.661111111111113,0.9111111111111114,0.89,1018.6
704,Clear,6.111111111111111,3.638888888888888,0.79,1018.66
705,Partly Cloudy,10.005555555555553,10.005555555555553,0.66,1018.38
706,Clear,12.244444444444444,12.244444444444444,0.52,1018.46
707,Clear,12.938888888888888,12.938888888888888,0.5,1018.34
711,Mostly Cloudy,17.266666666666666,17.266666666666666,0.41,1016.04
713,Overcast,17.38888888888889,17.38888888888889,0.37,1014.68
716,Partly Cloudy,11.71111111111111,11.71111111111111,0.58,1014.36
721,Clear,19.444444444444443,19.444444444444443,0.9,1012.22
727,Partly Cloudy,22.555555555555557,22.555555555555557,0.8,1011.72
732,Mostly Cloudy,32.17222222222222,32.22222222222222,0.38,1010.47
735,Mostly Cloudy,32.538888888888884,32.6888888888889,0.38,1008.95
741,Mostly Cloudy,24.694444444444443,24.694444444444443,0.65,1006.95
745,Partly Cloudy,15.494444444444444,15.494444444444444,0.87,1011.34
749,Partly Cloudy,12.605555555555554,12.605555555555554,0.92,1010.9
750,Clear,12.327777777777776,12.327777777777776,0.93,1011.54
756,Mostly Cloudy,21.20555555555556,21.20555555555556,0.76,1010.5
761,Mostly Cloudy,23.8,23.8,0.58,1007.71
765,Mostly Cloudy,19.91111111111111,19.91111111111111,0.74,1007.87
768,Overcast,17.25,17.25,0.89,1008.16
769,Overcast,16.62777777777778,16.62777777777778,0.92,1008.15
773,Overcast,16.505555555555556,16.505555555555556,0.79,1008.06
777,Mostly Cloudy,18.84444444444445,18.84444444444445,0.68,1007.86
779,Partly Cloudy,22.50555555555556,22.50555555555556,0.62,1008.2
782,Partly Cloudy,25.83333333333333,25.83333333333333,0.44,1008.03
783,Partly Cloudy,25.92777777777778,25.92777777777778,0.43,1007.73
785,Partly Cloudy,24.944444444444446,24.944444444444446,0.43,1007.73
789,Partly Cloudy,17.805555555555557,17.805555555555557,0.78,1008.62
791,Mostly Cloudy,16.48888888888889,16.48888888888889,0.79,1009.41
793,Mostly Cloudy,15.627777777777778,15.627777777777778,0.81,1009.69
795,Mostly Cloudy,15.577777777777776,15.577777777777776,0.84,1009.61
796,Mostly Cloudy,15.577777777777776,15.577777777777776,0.81,1009.32
797,Mostly Cloudy,15.605555555555558,15.605555555555558,0.81,1009.37
798,Mostly Cloudy,15.050000000000002,15.050000000000002,0.83,1009.14
801,Overcast,17.666666666666668,17.666666666666668,0.71,1009.19
803,Clear,19.683333333333337,19.683333333333337,0.67,1008.93
804,Clear,18.82222222222222,18.82222222222222,0.78,1008.11
805,Mostly Cloudy,20.0,20.0,0.77,1007.52
808,Mostly Cloudy,23.616666666666667,23.616666666666667,0.6,1006.16
809,Mostly Cloudy,23.81666666666667,23.81666666666667,0.62,1005.9
811,Mostly Cloudy,19.95,19.95,0.7,1006.32
817,Mostly Cloudy,16.71111111111111,16.71111111111111,0.97,1006.86
818,Overcast,16.266666666666666,16.266666666666666,0.97,1009.54
821,Mostly Cloudy,15.555555555555555,15.555555555555555,0.96,1007.66
822,Partly Cloudy,14.516666666666667,14.516666666666667,1.0,1007.73
826,Mostly Cloudy,22.016666666666666,22.016666666666666,0.74,1008.71
828,Partly Cloudy,21.04444444444444,21.04444444444444,0.73,1009.72
829,Partly Cloudy,18.93888888888889,18.93888888888889,0.89,1010.77
830,Overcast,18.916666666666668,18.916666666666668,0.9,1010.97
837,Overcast,17.711111111111112,17.711111111111112,0.97,1010.09
839,Overcast,16.79444444444444,16.79444444444444,0.97,1010.08
840,Overcast,16.666666666666668,16.666666666666668,0.97,1010.49
843,Overcast,16.116666666666664,16.116666666666664,0.97,1010.3
844,Overcast,16.116666666666664,16.116666666666664,0.97,1010.48
845,Overcast,15.555555555555555,15.555555555555555,0.96,1010.86
846,Clear,14.005555555555556,14.005555555555556,1.0,1010.7
848,Mostly Cloudy,16.049999999999997,16.049999999999997,0.93,1011.92
852,Mostly Cloudy,20.18888888888889,20.18888888888889,0.77,1013.43
854,Partly Cloudy,22.355555555555554,22.355555555555554,0.7,1013.49
857,Partly Cloudy,22.955555555555552,22.955555555555552,0.56,1012.85
859,Partly Cloudy,20.85555555555556,20.85555555555556,0.7,1012.28
861,Partly Cloudy,17.733333333333334,17.733333333333334,0.84,1012.44
865,Overcast,17.200000000000003,17.200000000000003,0.9,1013.5
868,Mostly Cloudy,16.094444444444445,16.094444444444445,0.96,1013.21
869,Mostly Cloudy,15.550000000000002,15.550000000000002,0.93,1013.5
873,Partly Cloudy,19.81111111111111,19.81111111111111,0.79,1014.61
876,Partly Cloudy,22.75,22.75,0.57,1015.0
877,Partly Cloudy,23.79444444444444,23.79444444444444,0.54,1015.18
879,Partly Cloudy,23.96111111111111,23.96111111111111,0.53,1015.17
881,Partly Cloudy,23.95555555555556,23.95555555555556,0.53,1014.66
883,Partly Cloudy,23.86111111111111,23.86111111111111,0.54,1014.68
884,Partly Cloudy,19.26666666666667,19.26666666666667,0.75,1015.04
886,Clear,16.622222222222224,16.622222222222224,0.93,1015.88
887,Clear,16.67222222222222,16.67222222222222,0.87,1015.95
891,Partly Cloudy,14.444444444444445,14.444444444444445,0.93,1015.98
895,Partly Cloudy,17.044444444444444,17.044444444444444,0.82,1015.49
896,Partly Cloudy,18.788888888888884,18.788888888888884,0.78,1015.64
897,Partly Cloudy,21.16111111111111,21.16111111111111,0.73,1015.46
898,Partly Cloudy,23.86666666666666,23.86666666666666,0.62,1015.35
899,Partly Cloudy,24.966666666666665,24.966666666666665,0.56,1015.21
901,Partly Cloudy,27.22222222222222,27.261111111111106,0.44,1014.36
902,Partly Cloudy,27.73888888888889,27.355555555555554,0.39,1014.11
904,Partly Cloudy,27.800000000000004,27.399999999999995,0.39,1013.07
905,Partly Cloudy,27.872222222222224,27.37777777777778,0.37,1012.83
906,Mostly Cloudy,26.15555555555555,26.15555555555555,0.43,1012.55
907,Mostly Cloudy,23.97777777777777,23.97777777777777,0.54,1012.46
908,Mostly Cloudy,22.57222222222222,22.57222222222222,0.58,1012.52
913,Partly Cloudy,18.75,18.75,0.76,1012.59
914,Clear,19.87777777777778,19.87777777777778,0.85,1012.55
915,Partly Cloudy,17.22222222222222,17.22222222222222,0.84,1012.09
918,Clear,16.094444444444445,16.094444444444445,0.87,1012.38
919,Partly Cloudy,17.666666666666668,17.666666666666668,0.84,1012.66
920,Partly Cloudy,20.78333333333333,20.78333333333333,0.7,1012.65
921,Partly Cloudy,22.73333333333333,22.73333333333333,0.67,1012.39
922,Partly Cloudy,26.016666666666666,26.016666666666666,0.55,1012.47
923,Clear,26.12777777777778,26.12777777777778,0.58,1012.91
925,Partly Cloudy,29.00555555555555,29.75,0.51,1012.36
926,Clear,31.03333333333333,31.71111111111111,0.45,1012.33
927,Clear,31.13333333333334,30.6,0.36,1011.95
928,Clear,31.13333333333334,31.261111111111106,0.41,1011.74
930,Clear,30.022222222222226,30.705555555555552,0.48,1011.45
931,Clear,27.872222222222224,29.07222222222222,0.58,1011.65
935,Clear,21.2,21.2,0.84,1012.57
936,Clear,21.550000000000004,21.550000000000004,0.81,1012.66
937,Clear,21.43888888888889,21.43888888888889,0.82,1012.39
938,Partly Cloudy,19.50555555555556,19.50555555555556,0.92,1015.42
941,Partly Cloudy,18.75,18.75,0.91,1012.44
942,Clear,18.84444444444445,18.84444444444445,0.9,1012.47
943,Mostly Cloudy,19.91111111111111,19.91111111111111,0.87,1012.85
946,Mostly Cloudy,25.0,25.0,0.74,1013.17
